Compound,RT,Type,Filename,Status,Group,Area,RT Delta,m/z (Delta),Group Average,Batch Order,Peak Label,Sample Type,Level,Sample ID,Sample Name,Comments,Height,Actual RT,Formula,Adduct,Calculated Amt,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),Response Ratio,ISTD Amt,ISTD Response,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Channel,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Modification,Protein Name,Peptide Sequence,Ion Type,S/N,Ion Ratio,Relative RT,Flag Details
DG 14:1/16:0/0:0 ,2.64,Target Compound,s4,Processed,fleisch,N/F,N/F,N/F,1,5,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s4,Processed,fleisch,18167077,"0.04,0.06",N/A,25430510.15,5,,Unknown,NA,1,NA,NA,3521471,"12.76, 12.78",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
DG 14:0/16:1/0:0 ,2.79,Target Compound,s5,Processed,fleisch,N/F,N/F,N/F,1,6,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,502.2928,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 14:1/16:0/0:0 ,2.64,Target Compound,s5,Processed,fleisch,N/F,N/F,N/F,1,6,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s5,Processed,fleisch,20681674,"-0.01,0.01",N/A,25430510.15,6,,Unknown,NA,1,NA,NA,4340042,"12.71, 12.73",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
DG 14:0/16:1/0:0 ,2.79,Target Compound,s6,Processed,fleisch,N/F,N/F,N/F,1,7,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,502.2928,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 14:1/16:0/0:0 ,2.64,Target Compound,s6,Processed,fleisch,N/F,N/F,N/F,1,7,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s6,Processed,fleisch,20482717,"0.00,0.00",N/A,25430510.15,7,,Unknown,NA,1,NA,NA,4446345,"12.72, 12.72",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
DG 14:0/16:1/0:0 ,2.79,Target Compound,s7,Processed,fleisch,N/F,N/F,N/F,1,8,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,502.2928,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 14:1/16:0/0:0 ,2.64,Target Compound,s7,Processed,fleisch,N/F,N/F,N/F,1,8,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s7,Processed,fleisch,32970109,"-0.08,-0.06",N/A,25430510.15,8,,Unknown,NA,1,NA,NA,5834792,"12.64, 12.66",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
DG 14:0/16:1/0:0 ,2.79,Target Compound,s8,Processed,fleisch,N/F,N/F,N/F,1,9,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,502.2928,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 14:1/16:0/0:0 ,2.64,Target Compound,s8,Processed,fleisch,N/F,N/F,N/F,1,9,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s8,Processed,fleisch,36643273,"-0.07,-0.07",N/A,25430510.15,9,,Unknown,NA,1,NA,NA,6460603,"12.65, 12.65",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
DG 14:0/16:1/0:0 ,2.79,Target Compound,s9,Processed,fleisch,N/F,N/F,N/F,1,10,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,502.2928,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 14:1/16:0/0:0 ,2.64,Target Compound,s9,Processed,fleisch,N/F,N/F,N/F,1,10,T1,Unknown,NA,1,NA,NA,N/F,N/F,,N/A,N/F,N/A,N/F,N/A,570.2827,N/F,N/F,0,N/A,Method,True,False,N/A,N/A,N/A,NA,NA,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,NA,NA,NA,NA,N/A,N/A,0,
DG 12:0/18:2/0:0 ,"12.72,12.72",Target Compound,s9,Processed,fleisch,33428499,"-0.07,-0.06",N/A,25430510.15,10,,Unknown,NA,1,NA,NA,5787040,"12.65, 12.66",,N/A,N/A,N/A,N/A,N/A,<multiple>,<multiple>,0,0,N/A,<multiple>,True,False,N/A,N/A,N/A,NA,NA,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,N/A,N/A,0,
